日期,广告活动,商品编码,平台,站点,类目,曝光,点击,花费,订单数,销量,广告销售额,总销售额,单位成本,退款金额,币种
2026-08-17,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,27028,751,968.44,23,23,4577,5572,118,86.28,MXN
2026-08-17,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,18376,474,2442.95,17,17,11033,14278,462,422.39,MXN
2026-08-17,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,12348,348,405.66,8,8,2072,2849,158,44.92,MXN
2026-08-17,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,11090,238,978.61,4,4,1716,2145,340,40.49,MXN
2026-08-18,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,22702,514,618.7,14,15,2985,4179,118,64.87,MXN
2026-08-18,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,21132,562,2645.22,18,18,11682,16225,462,601.16,MXN
2026-08-18,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,13558,249,328.06,6,6,1554,2072,158,21.52,MXN
2026-08-18,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,10267,215,1071.29,4,4,1716,2145,340,41.5,MXN
2026-08-19,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,26251,690,1038.33,21,23,4577,5970,118,100.05,MXN
2026-08-19,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,19846,632,3895.1,24,26,16874,24013,462,667.77,MXN
2026-08-19,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,12816,375,432.15,9,9,2331,2849,158,51.65,MXN
2026-08-19,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,11736,346,1584.37,6,6,2574,3432,340,68.03,MXN
2026-08-20,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,24002,618,751.12,16,17,3383,4179,118,55.09,MXN
2026-08-20,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,17870,482,2518.1,16,16,10384,14278,462,406.89,MXN
2026-08-20,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,14717,403,542.54,10,11,2849,3626,158,52.08,MXN
2026-08-20,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,10829,209,931.62,4,4,1716,2145,340,45.19,MXN
2026-08-21,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,30713,807,893.57,21,21,4179,5373,118,79.72,MXN
2026-08-21,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,18706,533,3605.25,20,22,14278,21417,462,664.34,MXN
2026-08-21,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,13847,281,352.67,7,7,1813,2590,158,30.97,MXN
2026-08-21,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,13241,422,2177.66,8,8,3432,4719,340,102.42,MXN
2026-08-22,AM_MX_支架_精准,A-001,Amazon,MX,3C配件,33149,884,1079.71,23,24,4776,7164,118,106.6,MXN
2026-08-22,ML_MX_宠物_自动,W009-DDJ,Mercado Libre,MX,宠物用品,22996,683,3789.2,24,24,15576,20119,462,709.36,MXN
2026-08-22,AM_MX_车载_手动,BS-002-BK,Amazon,MX,3C配件,20448,535,634.41,13,13,3367,4144,158,51.64,MXN
2026-08-22,TT_MX_放量_厨房,H-007,TikTok Shop,MX,厨房家电,16326,490,2876.88,10,11,4719,5577,340,183.83,MXN
