订单编号,单量,总收入,佣金,附加费,运费,退货退款,净利润 (比索),Venta por publicidad,SKU,# de publicación
2000010306633681,1,617.78,-89.11,-24.67,-60.55,0.0,151.4,是,W009-DDJ,MLM4030007681
2000010306633688,1,194.36,-28.73,-4.17,-46.8,0.0,25.11,是,A-001,MLM4030007688
2000010306633695,2,1301.61,-215.58,-39.67,-31.46,0.0,430.8,否,W009-DDJ,MLM4030007695
2000010306633702,2,524.74,-83.48,-23.82,-34.01,0.0,150.33,是,BS-002-BK,MLM4030007702
2000010306633709,1,191.34,-25.39,-4.18,-48.59,0.0,23.63,是,A-001,MLM4030007709
2000010306633716,2,522.93,-70.83,-10.75,-45.73,0.0,162.52,否,BS-002-BK,MLM4030007716
2000010306633723,1,671.28,-106.24,-14.87,-55.78,0.0,202.34,是,W009-DDJ,MLM4030007723
2000010306633730,1,425.28,-59.3,-12.92,-40.07,0.0,119.94,否,H-007,MLM4030007730
2000010306633737,2,414.47,-69.54,-10.72,-29.35,0.0,125.76,否,A-001,MLM4030007737
2000010306633744,1,446.34,-72.17,-10.04,-42.34,0.0,128.74,否,H-007,MLM4030007744
2000010306633751,1,263.66,-37.47,-11.06,-38.26,0.0,60.32,否,BS-002-BK,MLM4030007751
2000010306633758,1,423.36,-62.75,-10.83,-41.49,0.0,115.24,是,H-007,MLM4030007758
2000010306633765,2,495.98,-81.34,-16.33,-42.78,0.0,122.43,否,BS-002-BK,MLM4030007765
2000010306633772,2,492.59,-73.27,-23.04,-32.99,0.0,130.19,是,BS-002-BK,MLM4030007772
2000010306633779,1,680.25,-91.84,-27.37,-38.9,0.0,230.09,否,W009-DDJ,MLM4030007779
2000010306633786,2,1236.26,-203.17,-27.68,-41.23,0.0,380.08,否,W009-DDJ,MLM4030007786
2000010306633793,1,261.1,-42.23,-5.57,-32.91,0.0,63.84,否,BS-002-BK,MLM4030007793
2000010306633800,1,202.48,-31.4,-4.21,-50.07,0.0,27.25,是,A-001,MLM4030007800
2000010306633807,1,655.48,-85.48,-28.69,-52.76,0.0,196.5,是,W009-DDJ,MLM4030007807
2000010306633814,2,521.06,-69.74,-22.29,-49.97,0.0,145.96,是,BS-002-BK,MLM4030007814
2000010306633821,2,828.54,-124.87,-32.34,-41.71,0.0,243.52,是,H-007,MLM4030007821
2000010306633828,1,411.99,-55.96,-13.79,-34.83,0.0,114.36,否,H-007,MLM4030007828
2000010306633835,1,449.9,-76.38,-17.34,-44.01,0.0,119.12,否,H-007,MLM4030007835
2000010306633842,2,875.14,-134.45,-19.69,-60.26,0.0,274.64,否,H-007,MLM4030007842
2000010306633849,2,408.07,-64.55,-12.07,-52.44,0.0,99.91,否,A-001,MLM4030007849
2000010306633856,2,1304.95,-188.31,-52.45,-28.97,0.0,451.12,是,W009-DDJ,MLM4030007856
2000010306633863,2,1298.0,-218.88,-49.9,-44.05,0.0,401.07,是,W009-DDJ,MLM4030007863
2000010306633870,1,637.59,-99.51,-29.99,-29.75,0.0,186.29,否,W009-DDJ,MLM4030007870
2000010306633877,1,199.1,-30.36,-6.25,-47.73,0.0,25.21,是,A-001,MLM4030007877
2000010306633884,1,414.68,-62.6,-11.89,-45.29,0.0,101.85,是,H-007,MLM4030007884
2000010306633891,1,433.19,-64.8,-18.86,-29.09,0.0,127.39,是,H-007,MLM4030007891
2000010306633898,2,1329.85,-187.6,-35.25,-49.02,0.0,473.88,是,W009-DDJ,MLM4030007898
2000010306633905,2,872.46,-115.06,-35.81,-57.87,0.0,277.62,否,H-007,MLM4030007905
2000010306633912,1,195.84,-30.07,-5.46,-51.89,0.0,18.87,是,A-001,MLM4030007912
2000010306633919,1,205.91,-34.16,-8.18,-37.89,0.0,36.13,否,A-001,MLM4030007919
2000010306633926,1,199.91,-31.19,-8.61,-34.74,0.0,35.82,是,A-001,MLM4030007926
2000010306633933,2,410.56,-67.66,-12.46,-46.41,0.0,104.93,是,A-001,MLM4030007933
2000010306633940,2,400.96,-60.17,-10.76,-58.33,0.0,92.6,是,A-001,MLM4030007940
2000010306633947,2,514.52,-68.86,-11.28,-28.19,0.0,173.09,是,BS-002-BK,MLM4030007947
2000010306633954,1,413.92,-61.99,-19.0,-32.49,0.0,107.39,否,H-007,MLM4030007954
2000010306633961,1,418.95,-64.59,-10.23,-44.58,0.0,106.5,是,H-007,MLM4030007961
2000010306633968,1,246.82,-37.6,-5.57,-28.94,0.0,58.16,否,BS-002-BK,MLM4030007968
2000010306633975,1,643.0,-97.5,-20.21,-60.84,0.0,172.4,是,W009-DDJ,MLM4030007975
2000010306633982,1,680.84,-103.05,-17.72,-28.05,0.0,239.97,是,W009-DDJ,MLM4030007982
2000010306633989,1,616.77,-92.41,-21.9,-56.86,0.0,153.55,否,W009-DDJ,MLM4030007989
2000010306633996,2,513.22,-82.93,-13.17,-30.6,0.0,153.42,是,BS-002-BK,MLM4030007996
2000010306634003,1,438.32,-73.22,-13.66,-46.5,0.0,111.89,是,H-007,MLM4030008003
2000010306634010,1,443.66,-63.19,-9.44,-52.46,0.0,125.52,是,H-007,MLM4030008010
2000010306634017,1,253.32,-35.69,-9.42,-61.71,0.0,29.95,是,BS-002-BK,MLM4030008017
2000010306634024,2,402.92,-57.03,-12.27,-58.21,0.0,96.31,是,A-001,MLM4030008024
2000010306634031,1,674.69,-104.2,-20.96,-35.81,0.0,221.67,是,W009-DDJ,MLM4030008031
2000010306634038,1,674.54,-111.7,-18.34,-59.13,0.0,193.32,否,W009-DDJ,MLM4030008038
2000010306634045,1,260.84,-38.44,-7.04,-42.27,0.0,56.54,否,BS-002-BK,MLM4030008045
2000010306634052,2,1318.46,-217.05,-47.74,-39.43,0.0,430.14,否,W009-DDJ,MLM4030008052
2000010306634059,1,192.68,-29.79,-6.8,-39.9,0.0,26.64,是,A-001,MLM4030008059
2000010306634066,2,516.6,-77.65,-23.48,-36.49,0.0,145.88,是,BS-002-BK,MLM4030008066
2000010306634073,1,193.71,-29.53,-4.74,-52.01,0.0,17.88,否,A-001,MLM4030008073
2000010306634080,2,888.6,-128.47,-44.1,-52.2,0.0,277.73,否,H-007,MLM4030008080
2000010306634087,2,887.91,-141.86,-32.1,-57.55,0.0,270.3,是,H-007,MLM4030008087
2000010306634094,1,408.55,-55.73,-17.45,-41.81,0.0,100.51,否,H-007,MLM4030008094
2000010306634101,1,622.27,-103.99,-24.67,-54.56,0.0,147.0,否,W009-DDJ,MLM4030008101
2000010306634108,1,656.03,-108.74,-19.04,-39.08,0.0,197.12,否,W009-DDJ,MLM4030008108
2000010306634115,1,257.05,-35.46,-12.18,-45.69,0.0,47.17,否,BS-002-BK,MLM4030008115
2000010306634122,1,194.67,-26.09,-9.33,-61.89,0.0,7.81,否,A-001,MLM4030008122
2000010306634129,2,414.33,-65.87,-8.62,-42.42,0.0,118.32,否,A-001,MLM4030008129
2000010306634136,1,647.18,-93.53,-28.58,-51.95,0.0,181.07,是,W009-DDJ,MLM4030008136
2000010306634143,1,189.16,-25.59,-7.55,-51.33,0.0,15.14,是,A-001,MLM4030008143
2000010306634150,1,444.45,-72.19,-17.41,-56.97,0.0,104.83,否,H-007,MLM4030008150
2000010306634157,2,1259.53,-183.94,-51.97,-56.4,0.0,383.12,是,W009-DDJ,MLM4030008157
2000010306634164,2,511.63,-86.53,-15.82,-37.66,0.0,138.52,否,BS-002-BK,MLM4030008164
2000010306634171,2,871.55,-125.25,-38.46,-39.58,0.0,282.16,否,H-007,MLM4030008171
2000010306634178,2,848.74,-129.53,-41.67,-57.36,0.0,234.08,否,H-007,MLM4030008178
2000010306634185,1,634.14,-105.12,-12.8,-46.34,-517.41,-339.58,是,W009-DDJ,MLM4030008185
2000010306634192,2,497.62,-65.74,-14.6,-58.39,0.0,125.79,否,BS-002-BK,MLM4030008192
2000010306634199,2,864.21,-118.03,-39.27,-38.76,0.0,282.05,否,H-007,MLM4030008199
2000010306634206,1,428.83,-58.56,-20.65,-40.17,0.0,116.4,是,H-007,MLM4030008206
2000010306634213,2,390.84,-55.7,-16.36,-52.77,0.0,86.91,否,A-001,MLM4030008213
2000010306634220,2,1339.64,-218.13,-49.94,-58.75,0.0,428.72,否,W009-DDJ,MLM4030008220
2000010306634227,2,829.64,-124.3,-24.14,-53.47,0.0,241.63,否,H-007,MLM4030008227
2000010306634234,2,525.59,-87.8,-22.17,-31.55,0.0,150.97,是,BS-002-BK,MLM4030008234
2000010306634241,2,816.26,-128.31,-39.29,-59.42,0.0,203.14,是,H-007,MLM4030008241
2000010306634248,2,1261.4,-200.13,-49.17,-39.86,-975.27,-587.13,是,W009-DDJ,MLM4030008248
2000010306634255,1,264.61,-40.34,-9.12,-55.27,0.0,43.33,是,BS-002-BK,MLM4030008255
2000010306634262,2,534.58,-74.42,-23.51,-28.02,0.0,175.53,否,BS-002-BK,MLM4030008262
2000010306634269,1,191.04,-27.78,-6.54,-34.31,0.0,32.86,否,A-001,MLM4030008269
